Currency,Date,Open,High,Low,Close
="JPY",="17/12/2018",="113.32",="113.52",="112.79",="112.8",
="JPY",="14/12/2018",="113.63",="113.67",="113.22",="113.39",
="JPY",="13/12/2018",="113.19",="113.71",="113.14",="113.63",
="JPY",="12/12/2018",="113.31",="113.52",="113.16",="113.19",
="JPY",="11/12/2018",="113.12",="113.47",="113.01",="113.31",
="JPY",="10/12/2018",="112.65",="113.22",="112.24",="113.12",
="JPY",="07/12/2018",="112.54",="112.93",="112.43",="112.69",
="JPY",="06/12/2018",="113.15",="113.24",="112.24",="112.54",
="JPY",="05/12/2018",="112.77",="113.23",="112.58",="113.15",
="JPY",="04/12/2018",="113.63",="113.71",="112.73",="112.77",
="JPY",="03/12/2018",="113.72",="113.85",="113.38",="113.63",
="JPY",="30/11/2018",="113.47",="113.71",="113.34",="113.57",
="JPY",="29/11/2018",="113.7",="113.72",="113.19",="113.47",
="JPY",="28/11/2018",="113.78",="114.04",="113.44",="113.7",
="JPY",="27/11/2018",="113.52",="113.84",="113.42",="113.78",
="JPY",="26/11/2018",="112.94",="113.61",="112.88",="113.52",
="JPY",="22/11/2018",="112.97",="113.01",="112.66",="112.96",
="JPY",="21/11/2018",="112.7",="113.15",="112.62",="113.01",
="JPY",="19/11/2018",="112.87",="112.9",="112.43",="112.44",
="JPY",="16/11/2018",="113.36",="113.71",="112.64",="112.83",
="JPY",="15/11/2018",="113.63",="113.74",="113.1",="113.36",
="JPY",="14/11/2018",="113.95",="114.02",="113.6",="113.63",
="JPY",="13/11/2018",="113.79",="114.15",="113.58",="113.95",
="JPY",="12/11/2018",="113.79",="114.21",="113.65",="113.79",
="JPY",="09/11/2018",="113.96",="114.09",="113.64",="113.83",
="JPY",="06/11/2018",="113.33",="113.97",="113.23",="113.96",
="JPY",="05/11/2018",="113.17",="113.34",="113.08",="113.17",
="JPY",="02/11/2018",="112.67",="113.32",="112.56",="113.2",
="JPY",="01/11/2018",="113.05",="113.06",="112.61",="112.67",
="JPY",="31/10/2018",="112.88",="113.39",="112.82",="113.05",
="JPY",="30/10/2018",="112.46",="112.98",="112.19",="112.88",
="JPY",="29/10/2018",="111.89",="112.56",="111.78",="112.46",
="JPY",="26/10/2018",="112.6",="112.67",="111.38",="111.91",
="JPY",="25/10/2018",="112.56",="112.64",="111.82",="112.6",
="JPY",="24/10/2018",="112.21",="112.74",="112.18",="112.56",
="JPY",="23/10/2018",="112.7",="112.84",="111.96",="112.21",
="JPY",="22/10/2018",="112.51",="112.89",="112.35",="112.7",
="JPY",="19/10/2018",="112.17",="112.65",="111.95",="112.55",
="JPY",="17/10/2018",="112.3",="112.73",="112.08",="112.17",
="JPY",="16/10/2018",="111.8",="112.29",="111.73",="112.17",
="JPY",="15/10/2018",="112.15",="112.28",="111.63",="111.8",
="JPY",="12/10/2018",="112.3",="112.5",="111.83",="112.21",
="JPY",="11/10/2018",="112.71",="112.83",="111.97",="112.3",
="JPY",="10/10/2018",="113.08",="113.29",="112.6",="112.71",
="JPY",="09/10/2018",="112.95",="113.39",="112.82",="113.08",
="JPY",="08/10/2018",="113.65",="113.94",="112.94",="112.95",
="JPY",="05/10/2018",="113.65",="113.94",="112.94",="112.95",
